ID,Date,Song,Artist,Rank,Last_Week,Peak_Position,Weeks_in_Charts
1,2025-09-17,Something In The Orange,Zach Bryan,47,3,148,0
2,2023-08-30,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,48,1,142,0
3,2025-07-30,Something In The Orange,Zach Bryan,45,3,142,0
4,2023-07-26,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,43,1,140,0
5,2025-06-18,Something In The Orange,Zach Bryan,47,3,137,0
6,2023-06-14,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,38,1,135,0
7,2025-04-23,Something In The Orange,Zach Bryan,45,3,135,0
8,2025-01-08,Something In The Orange,Zach Bryan,37,3,134,0
9,2022-01-26,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,45,1,120,0
10,2022-01-12,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,29,1,119,0
11,2021-10-20,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,49,1,118,0
12,2021-08-18,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,47,1,116,0
13,2021-06-30,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,49,1,115,0
14,2021-05-19,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,49,1,114,0
15,2022-10-12,Blinding Lights,The Weeknd,48,1,112,0
16,2022-08-31,Blinding Lights,The Weeknd,50,1,111,0
17,2019-09-11,Believer,Imagine Dragons,49,13,109,0
18,2022-07-27,Blinding Lights,The Weeknd,43,1,109,0
19,2022-07-13,Blinding Lights,The Weeknd,49,1,108,0
20,2022-06-22,Blinding Lights,The Weeknd,46,1,107,0
21,2021-02-03,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,45,1,106,0
22,2025-08-13,Last Night,Morgan Wallen,45,1,106,0
23,2021-01-13,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,37,1,105,0
24,2024-05-08,Something In The Orange,Zach Bryan,34,3,104,0
25,2024-07-10,Wasted On You,Morgan Wallen,46,3,104,0
26,2024-04-17,Wasted On You,Morgan Wallen,48,3,102,0
27,2025-06-25,Last Night,Morgan Wallen,43,1,102,0
28,2022-03-30,Blinding Lights,The Weeknd,47,1,101,0
29,2025-06-04,Last Night,Morgan Wallen,50,1,100,0
30,2020-10-21,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,37,1,98,0
31,2022-03-02,Blinding Lights,The Weeknd,47,1,98,0
32,2024-02-28,Wasted On You,Morgan Wallen,45,3,97,0
33,2019-06-05,Believer,Imagine Dragons,36,13,96,0
34,2022-02-09,Blinding Lights,The Weeknd,47,1,96,0
35,2019-05-22,Believer,Imagine Dragons,49,13,95,0
36,2022-01-12,Blinding Lights,The Weeknd,30,1,95,0
37,2025-04-16,Last Night,Morgan Wallen,45,1,94,0
38,2024-07-31,You Proof,Morgan Wallen,41,5,93,0
39,2025-01-08,Last Night,Morgan Wallen,45,1,93,0
40,2025-06-04,Snooze,SZA,49,4,93,0
41,2025-07-16,Tennessee Whiskey,Chris Stapleton,48,16,92,0
42,2019-04-17,Believer,Imagine Dragons,49,13,91,0
43,2024-01-10,Wasted On You,Morgan Wallen,33,3,91,0
44,2024-11-13,Last Night,Morgan Wallen,50,1,91,0
45,2025-03-05,Snooze,SZA,48,4,90,0
46,2025-06-25,Tennessee Whiskey,Chris Stapleton,47,16,90,0
47,2020-08-12,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,36,1,89,0
48,2021-10-13,Blinding Lights,The Weeknd,42,1,89,0
49,2024-10-16,Tennessee Whiskey,Chris Stapleton,50,16,89,0
50,2021-09-29,Blinding Lights,The Weeknd,49,1,88,0
51,2023-11-15,Wasted On You,Morgan Wallen,39,3,88,0
52,2024-01-10,Something In The Orange,Zach Bryan,9,3,88,0
53,2023-11-01,Wasted On You,Morgan Wallen,29,3,87,0
54,2019-01-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,33,1,86,0
55,2024-02-28,Tennessee Whiskey,Chris Stapleton,50,16,86,0
56,2025-01-29,Snooze,SZA,42,4,86,0
57,2014-09-17,Sail,AWOLNATION,46,10,85,0
58,2018-11-28,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,42,1,85,0
59,2024-02-07,Tennessee Whiskey,Chris Stapleton,49,16,85,0
60,2018-11-07,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,49,1,84,0
61,2024-05-22,You Proof,Morgan Wallen,46,5,84,0
62,2025-01-08,Snooze,SZA,29,4,84,0
63,2017-03-08,Uptown Funk!,Mark Ronson Featuring Bruno Mars,50,1,83,0
64,2018-10-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,48,1,83,0
65,2024-01-10,Tennessee Whiskey,Chris Stapleton,40,16,83,0
66,2024-04-24,You Proof,Morgan Wallen,41,5,83,0
67,2024-11-20,Snooze,SZA,48,4,83,0
68,2017-02-22,Uptown Funk!,Mark Ronson Featuring Bruno Mars,49,1,82,0
69,2023-01-11,Heat Waves,Glass Animals,48,3,82,0
