Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
23/01/2013,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,-
23/01/2013,Locked Out Of Heaven,Bruno Mars,2,2,1,-
23/01/2013,Diamonds,Rihanna,3,3,1,-
23/01/2013,Ho Hey,The Lumineers,4,4,1,-
23/01/2013,It's Time,Imagine Dragons,5,5,1,-
23/01/2013,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,6,1,-
23/01/2013,Radioactive,Imagine Dragons,7,7,1,-
23/01/2013,Swimming Pools (Drank),Kendrick Lamar,8,8,1,-
23/01/2013,Scream & Shout,will.i.am & Britney Spears,9,9,1,-
23/01/2013,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,10,10,1,-
23/01/2013,Some Nights,fun.,11,11,1,-
23/01/2013,Die Young,Ke$ha,12,12,1,-
23/01/2013,Gangnam Style,PSY,13,13,1,-
23/01/2013,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,1,-
23/01/2013,Sweet Nothing,Calvin Harris Featuring Florence Welch,15,15,1,-
23/01/2013,One More Night,Maroon 5,16,16,1,-
23/01/2013,Home,Phillip Phillips,17,17,1,-
23/01/2013,The A Team,Ed Sheeran,18,18,1,-
23/01/2013,Little Talks,Of Monsters And Men,19,19,1,-
23/01/2013,I Cry,Flo Rida,20,20,1,-
23/01/2013,We Are Never Ever Getting Back Together,Taylor Swift,21,21,1,-
23/01/2013,Clique,Kanye West| Jay-Z| Big Sean,22,22,1,-
23/01/2013,Thinkin Bout You,Frank Ocean,23,23,1,-
23/01/2013,I Will Wait,Mumford & Sons,24,24,1,-
23/01/2013,Lights,Ellie Goulding,25,25,1,-
23/01/2013,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,26,26,1,-
23/01/2013,No Worries,Lil Wayne Featuring Detail,27,27,1,-
23/01/2013,Girl On Fire,Alicia Keys Featuring Nicki Minaj,28,28,1,-
23/01/2013,We Are Young,fun. Featuring Janelle Monae,29,29,1,-
23/01/2013,I'm Different,2 Chainz,30,30,1,-
23/01/2013,Call Me Maybe,Carly Rae Jepsen,31,31,1,-
23/01/2013,Somebody That I Used To Know,Gotye Featuring Kimbra,32,32,1,-
23/01/2013,Little Things,One Direction,33,33,1,-
23/01/2013,Too Close,Alex Clare,34,34,1,-
23/01/2013,As Long As You Love Me,Justin Bieber Featuring Big Sean,35,35,1,-
23/01/2013,Hall Of Fame,The Script Featuring will.i.am,36,36,1,-
23/01/2013,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,37,37,1,-
23/01/2013,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,38,38,1,-
23/01/2013,Anything Could Happen,Ellie Goulding,39,39,1,-
23/01/2013,Sail,AWOLNATION,40,40,1,-
23/01/2013,Adorn,Miguel,41,41,1,-
23/01/2013,Wanted,Hunter Hayes,42,42,1,-
23/01/2013,Birthday Song,2 Chainz Featuring Kanye West,43,43,1,-
23/01/2013,Poetic Justice,Kendrick Lamar Featuring Drake,44,44,1,-
23/01/2013,Love Sosa,Chief Keef,45,45,1,-
23/01/2013,Try,P!nk,46,46,1,-
